accuracy,id,lat,lng,speed,time,type,state,stepCount,dbscan output,beaconData
223.9,0,37.529993,126.649541,0.0,4789715212952010752,STOP,AUTOMOBILE,174,1.0,
7.5,0,37.526063,126.648915,7.04,4789715213492682752,NORMAL,AUTOMOBILE,174,1.0,
8.2,0,37.526021,126.647808,18.66,4789715213521354752,NORMAL,AUTOMOBILE,174,1.0,
8.2,0,37.526,126.647162,19.24,4789715213533642752,NORMAL,AUTOMOBILE,5,1.0,
8.2,0,37.525973,126.646115,18.55,4789715213554122752,NORMAL,AUTOMOBILE,5,1.0,
8.2,0,37.525882,126.644947,17.1,4789715213578698752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.525688,126.643613,21.14,4789715213603274752,NORMAL,AUTOMOBILE,4,1.0,
8.1,0,37.525441,126.642658,21.27,4789715213619658752,NORMAL,AUTOMOBILE,4,1.0,
8.1,0,37.525104,126.641539,21.69,4789715213640138752,NORMAL,AUTOMOBILE,4,1.0,
8.1,0,37.524565,126.640236,20.96,4789715213664714752,NORMAL,AUTOMOBILE,9,1.0,
8.1,0,37.523994,126.638961,21.61,4789715213689290752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.523614,126.638107,21.74,4789715213705674752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.523046,126.636817,21.7,4789715213730250752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.522662,126.635958,21.71,4789715213746634752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.522092,126.634672,21.81,4789715213771210752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.521742,126.633863,20.27,4789715213787594752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.521209,126.632672,20.03,4789715213812170752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.520851,126.63188,20.19,4789715213828554752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.520298,126.630636,21.33,4789715213853130752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.519828,126.629582,21.46,4789715213873610752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.519352,126.628516,21.68,4789715213894090752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.518876,126.627451,21.45,4789715213914570752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.51841,126.626399,21.04,4789715213935050752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.517899,126.625224,19.19,4789715213959626752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.517457,126.624053,18.98,4789715213984202752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.517168,126.623274,19.62,4789715214000586752,NORMAL,AUTOMOBILE,2,1.0,
8.1,0,37.516903,126.621925,20.43,4789715214025162752,NORMAL,AUTOMOBILE,3,1.0,
8.1,0,37.516787,126.621054,19.18,4789715214041546752,NORMAL,AUTOMOBILE,3,1.0,
8.1,0,37.51669,126.619816,17.89,4789715214066122752,NORMAL,AUTOMOBILE,3,1.0,
7.9,0,37.516651,126.619056,16.31,4789715214082506752,NORMAL,AUTOMOBILE,3,1.0,
8.1,0,37.517036,126.61803,12.53,4789715214115274752,NORMAL,AUTOMOBILE,9,1.0,
8.1,0,37.517216,126.61788,12.38,4789715214123466752,NORMAL,AUTOMOBILE,9,1.0,
8.1,0,37.517704,126.617067,13.57,4789715214152138752,NORMAL,AUTOMOBILE,9,1.0,
